Rate(cM/Mb)	Start	End
6.472496479428238e-08	30	2626
5.8559982249993625e-08	2626	5383
8.013135187014052e-08	5383	7686
9.297690440698997e-08	7686	10014
6.951138383643149e-08	10014	12323
9.179549591381548e-08	12323	15114
8.611719242697401e-08	15114	16966
8.797485828399659e-08	16966	19366
7.588521843282585e-08	19366	21706
9.696418351881047e-08	21706	23993
8.917442071155522e-08	23993	26611
9.44207182554441e-08	26611	28751
1.1649441966548512e-07	28751	31063
7.8112505035175e-08	31063	33094
8.977448102782839e-08	33094	35101
1.1400100759384207e-07	35101	37180
7.085284606857332e-08	37180	39581
1.0241464941012826e-07	39581	41815
1.0015847231293784e-07	41815	43974
9.154831297432311e-08	43974	45898
6.927644032054907e-08	45898	48862
1.0076162229999808e-07	48862	51311
1.1141600401861555e-07	51311	53638
6.868423573480012e-08	53638	55416
8.415038239892542e-08	55416	58050
7.008928405819681e-08	58050	60156
7.813433914434168e-08	60156	62907
9.037653288044538e-08	62907	64912
9.020425379276276e-08	64912	66960
8.701235167542647e-08	66960	69630
7.871655082020777e-08	69630	72707
9.126343037296778e-08	72707	75078
7.50892541190403e-08	75078	77570
8.435287438405651e-08	77570	79622
8.900164279477527e-08	79622	82233
7.893183263799273e-08	82233	84364
6.345903166706159e-08	84364	86911
7.758611413082065e-08	86911	89937
6.061947410048398e-08	89937	93088
9.242085583714612e-08	93088	95937
6.701049339007264e-08	95937	98886
